year,residential_status,unemployment_rate
1992,resident,2.2
1993,resident,2.1
1994,resident,2.2
1995,resident,2.2
1996,resident,2.2
1997,resident,2
1998,resident,3.5
1999,resident,3.8
2000,resident,3.7
2001,resident,3.7
2002,resident,4.8
2003,resident,5.2
2004,resident,4.4
2005,resident,4.1
2006,resident,3.6
2007,resident,3
2008,resident,3.2
2009,resident,4.3
2010,resident,3.1
2011,resident,2.9
2012,resident,2.8
2013,resident,2.8
2014,resident,2.7
2015,resident,2.8
2016,resident,3
2017,resident,3.1
2018,resident,2.9
2019,resident,3.1
2020,resident,4.1
2021,resident,3.5
2022,resident,2.9
